day,bins,r_dc1100_dc1700,r_dc1100_airvisual,r_dc1700_airvisual,min_r,low_pair_count,low_pairs,flagged,abnormal_low_r
2020-05-21,24,0.9962825938200208,0.8722125165168929,0.8936457043405531,0.8722125165168929,0,,False,False
2020-05-22,24,0.996748925719234,0.6280461083430291,0.6400639949217978,0.6280461083430291,0,,False,False
2020-05-23,24,0.9797131248474942,0.9570243630204307,0.9624582948659178,0.9570243630204307,0,,False,False
2020-05-24,24,0.9896059700770931,0.862254976314413,0.8595056095310882,0.8595056095310882,0,,False,False
2020-05-25,24,0.9853902551672113,0.39712843247045504,0.5126816726584521,0.39712843247045504,1,r_dc1700_airvisual,False,False
2020-05-26,24,0.996581836722667,0.8910596127749899,0.9006706523829379,0.8910596127749899,0,,False,False
2020-05-27,24,0.9959120549807271,0.9639974822321404,0.9732795315929771,0.9639974822321404,0,,False,False
2020-05-28,24,0.9963324275288966,0.9079216772205958,0.8882364819256297,0.8882364819256297,0,,False,False
2020-05-29,24,0.9862124059606292,0.9684661234074579,0.9509898247285712,0.9509898247285712,0,,False,False
2020-05-30,24,0.9925041134284575,0.910588934188823,0.9376849647683974,0.910588934188823,0,,False,False
2020-05-31,24,0.988776588284972,0.8446438329611611,0.8534873947974904,0.8446438329611611,0,,False,False
2020-06-01,24,0.9963755364432846,0.9204350054236772,0.9126992467200726,0.9126992467200726,0,,False,False
2020-06-02,24,0.9933546967791547,0.8328708005971759,0.8741156409046396,0.8328708005971759,0,,False,False
2020-06-03,24,0.9920269030645869,0.7952643702133346,0.8373182330952211,0.7952643702133346,0,,False,False
2020-06-04,24,0.9927341007220213,0.8544734530590447,0.8836332800496632,0.8544734530590447,0,,False,False
2020-06-05,24,0.9939342704021334,0.8285231339517121,0.8479375892126695,0.8285231339517121,0,,False,False
2020-06-06,24,0.9971008449121801,0.8583226691170983,0.8506886003209657,0.8506886003209657,0,,False,False
2020-06-07,24,0.9978397981546979,0.9169268689638539,0.9050841985237675,0.9050841985237675,0,,False,False
2020-06-08,24,0.9961158835129079,0.9924729077629607,0.9907876937393099,0.9907876937393099,0,,False,False
2020-06-09,24,0.9979839636657373,0.950612948657511,0.962586050721535,0.950612948657511,0,,False,False
2020-06-10,24,0.9951394134934698,0.919924749952147,0.9359987834189448,0.919924749952147,0,,False,False
2020-06-11,24,0.9924098158289133,0.878633697007952,0.8912272829166219,0.878633697007952,0,,False,False
2020-06-12,24,0.9984768122145768,0.9607172779607331,0.9622784044270097,0.9607172779607331,0,,False,False
2020-06-13,24,0.9972867774635348,0.971470720126907,0.9789114195926027,0.971470720126907,0,,False,False
2020-06-14,24,0.996471275706813,0.7805170004364324,0.7958906477973021,0.7805170004364324,0,,False,False
2020-06-15,24,0.9893563625150812,0.9053368255313456,0.9190190818355423,0.9053368255313456,0,,False,False
2020-06-16,24,0.9964898729417325,0.9606743154185863,0.9730257771123054,0.9606743154185863,0,,False,False
2020-06-17,24,0.9886643119144062,0.9280218394606845,0.967912877716548,0.9280218394606845,0,,False,False
2020-06-18,24,0.9941002191950958,0.8308775205091524,0.8750208719168047,0.8308775205091524,0,,False,False
2020-06-19,24,0.9897872771346223,0.656340284007852,0.7135702275696119,0.656340284007852,0,,False,False
2020-06-20,24,0.9943027861811922,0.8213941266807568,0.8541833949956003,0.8213941266807568,0,,False,False
2020-06-21,24,0.9881094879194977,0.746271632245951,0.8264997371378644,0.746271632245951,0,,False,False
2020-06-22,24,0.9817358724844862,0.9568768410945174,0.9528380701289985,0.9528380701289985,0,,False,False
2020-06-23,24,0.9978157086902791,0.8922861459079188,0.9089521135413811,0.8922861459079188,0,,False,False
2020-06-24,24,0.9960952087275741,0.9361138419411585,0.9532937773362413,0.9361138419411585,0,,False,False
2020-06-25,24,0.9924885323839104,0.9487741514662622,0.9746224102957473,0.9487741514662622,0,,False,False
2020-06-26,24,0.9990208326441519,0.9821738230881815,0.9833230173675348,0.9821738230881815,0,,False,False
2020-06-27,24,0.9969319989113841,0.7808461567783455,0.8090919101154833,0.7808461567783455,0,,False,False
2020-06-28,24,0.9952676921161853,0.8048795604853026,0.8444177102503448,0.8048795604853026,0,,False,False
2020-06-29,24,0.9936380859739279,0.7135216323220442,0.7731846808812745,0.7135216323220442,0,,False,False
2020-06-30,24,0.9897495582947516,0.3873772809910737,0.44696252190033275,0.3873772809910737,1,r_dc1700_airvisual,False,False
2020-07-01,24,0.9976709556092997,0.5449833422224134,0.5726517977408613,0.5449833422224134,1,r_dc1700_airvisual,False,False
2020-07-02,24,0.9936802802084802,0.6444075307749428,0.700085454615231,0.6444075307749428,0,,False,False
2020-07-03,24,0.969187534401909,0.8675020460251928,0.7572222852547109,0.7572222852547109,0,,False,False
2020-07-04,24,0.9925254470473301,0.8648460209737135,0.881446442903623,0.8648460209737135,0,,False,False
2020-07-05,24,0.9852810739443882,0.016511707690451273,0.1013877738281997,0.016511707690451273,2,r_dc1100_airvisual;r_dc1700_airvisual,True,True
2020-07-06,24,0.988847575301815,0.6645252650159302,0.7511016341262842,0.6645252650159302,0,,False,False
2020-07-07,24,0.9946665193030397,0.673962296195688,0.717580960193747,0.673962296195688,0,,False,False
2020-07-08,24,0.9941859645144824,0.9283676982485846,0.9580038209396854,0.9283676982485846,0,,False,False
2020-07-09,24,0.9985252734514767,0.9680103201944419,0.9700485221092989,0.9680103201944419,0,,False,False
2020-07-10,24,0.993579838589129,0.9367387712829549,0.9546481697837933,0.9367387712829549,0,,False,False
2020-07-11,24,0.9933061317752178,0.8827717611564795,0.9012172026535418,0.8827717611564795,0,,False,False
2020-07-12,24,0.997604962272169,0.8168893048516577,0.8362747834017288,0.8168893048516577,0,,False,False
2020-07-13,24,0.9948924885852296,0.9678487795443745,0.9617003584703547,0.9617003584703547,0,,False,False
2020-07-14,24,0.9919815285822914,0.2686369760891332,0.34525333900816346,0.2686369760891332,2,r_dc1100_airvisual;r_dc1700_airvisual,True,False
2020-07-15,24,0.9971332248002981,0.9395366985854103,0.9442696976884093,0.9395366985854103,0,,False,False
2020-07-16,24,0.996813516101435,0.7566594636409748,0.7833689175339428,0.7566594636409748,0,,False,False
2020-07-17,24,0.9961786199470293,0.9113443445913214,0.9382124981027775,0.9113443445913214,0,,False,False
2020-07-18,24,0.9950940252571604,0.8345835204524763,0.8775772225243289,0.8345835204524763,0,,False,False
2020-07-19,24,0.995225502378016,0.936686931070353,0.9616702816139033,0.936686931070353,0,,False,False
2020-07-20,24,0.9943421972624834,0.9008295812142936,0.9112544445844676,0.9008295812142936,0,,False,False
2020-07-21,24,0.9989132349569517,0.913498382723181,0.9232375389117561,0.913498382723181,0,,False,False
2020-07-22,24,0.996256045858051,0.6746985378822244,0.6892438309000019,0.6746985378822244,0,,False,False
2020-07-23,24,0.9946462449662067,0.6675181962973787,0.7113978878400448,0.6675181962973787,0,,False,False
2020-07-24,24,0.9936865619791407,0.49929825187962185,0.5570570828478387,0.49929825187962185,1,r_dc1700_airvisual,False,False
2020-07-25,24,0.9922741726923472,0.6186440802693164,0.6853786272396967,0.6186440802693164,0,,False,False
2020-07-26,24,0.9972421104489662,0.7687007589506591,0.7929172850741881,0.7687007589506591,0,,False,False
2020-07-27,24,0.9915792555867443,0.9490088088477728,0.9635575961498238,0.9490088088477728,0,,False,False
2020-07-28,24,0.9735353540753113,0.9493679776111708,0.9237862355380111,0.9237862355380111,0,,False,False
2020-07-29,24,0.9941208740692962,0.8943706275804156,0.9083268038073908,0.8943706275804156,0,,False,False
2020-07-30,24,0.998383556503148,0.9001900160734613,0.9072638280176307,0.9001900160734613,0,,False,False
2020-07-31,24,0.9933779548013236,0.9014371511974278,0.93374792206525,0.9014371511974278,0,,False,False
2020-08-01,24,0.9976099354515849,0.9923464619082751,0.9848476654159657,0.9848476654159657,0,,False,False
2020-08-02,24,0.9893291643035553,0.9297114457788445,0.9218565800593468,0.9218565800593468,0,,False,False
2020-08-03,24,0.9907283012447178,0.8689451117941476,0.9025347495753738,0.8689451117941476,0,,False,False
2020-08-04,24,0.9673579970977747,0.7508081490542295,0.839894109721354,0.7508081490542295,0,,False,False
2020-08-05,24,0.979269383134581,0.911707587169594,0.9212978243536382,0.911707587169594,0,,False,False
2020-08-06,24,0.9945055966077789,0.8943548651001347,0.9015797779465828,0.8943548651001347,0,,False,False
2020-08-07,24,0.9817019368820846,0.9177330621895234,0.9114932362574275,0.9114932362574275,0,,False,False
2020-08-08,24,0.980615412584996,0.9784093881924046,0.9563882302871266,0.9563882302871266,0,,False,False
2020-08-09,24,0.9904043707902209,0.7679818360507877,0.7925018484091472,0.7679818360507877,0,,False,False
2020-08-10,24,0.9780070454103139,0.9093832117400659,0.9543058159854337,0.9093832117400659,0,,False,False
2020-08-11,24,0.9967840954437568,0.909674605611697,0.924189765448485,0.909674605611697,0,,False,False
2020-08-12,24,0.9962733309417328,0.937901334462048,0.9568720810928212,0.937901334462048,0,,False,False
2020-08-13,24,0.9889084570824492,0.7339196543837938,0.7986959476717491,0.7339196543837938,0,,False,False
2020-08-14,24,0.9822314261926606,0.8968075252807248,0.934109640289118,0.8968075252807248,0,,False,False
2020-08-15,24,0.987810767324619,0.9607419868518592,0.9753652436523479,0.9607419868518592,0,,False,False
2020-08-16,24,0.9951442463657403,0.9654362705576783,0.9519536084557921,0.9519536084557921,0,,False,False
2020-08-17,24,0.9889719221928691,0.9308696477790203,0.949411661777597,0.9308696477790203,0,,False,False
2020-08-18,24,0.9937828153738248,0.9374221580808305,0.9511001243569708,0.9374221580808305,0,,False,False
2020-08-19,24,0.9787288658408424,0.8940621353931621,0.9390713272244691,0.8940621353931621,0,,False,False
2020-08-20,24,0.9640623245806483,0.9403169659779935,0.9379169547249336,0.9379169547249336,0,,False,False
2020-08-21,24,0.8162479891735024,0.2802407286748734,0.6651403908091155,0.2802407286748734,1,r_dc1100_airvisual,False,False
2020-08-22,24,0.9706132326579628,0.9226685991201126,0.9497401952145631,0.9226685991201126,0,,False,False
2020-08-23,24,0.9957526280092893,0.9557185336844168,0.9549673824187423,0.9549673824187423,0,,False,False
